trial,mission_id,goal_name,success,duration_sec,distance_m
1,M1773900100,room_a,True,3.3,0.97
1,M1773900100,room_b,True,9.9,4.92
1,M1773900100,room_c,False,7.7,0.54
1,M1773900100,dock,True,30.0,8.17
2,M1773900200,room_a,True,8.3,0.94
2,M1773900200,room_b,True,21.2,5.15
2,M1773900200,room_c,True,16.2,6.09
2,M1773900200,dock,True,27.3,7.65
3,M1773900300,room_a,False,5.2,0.17
3,M1773900300,room_b,True,11.5,5.47
3,M1773900300,room_c,True,11.0,4.91
3,M1773900300,dock,False,8.6,1.6
4,M1773900400,room_a,True,3.0,0.73
4,M1773900400,room_b,True,14.7,4.95
4,M1773900400,room_c,True,17.5,4.94
4,M1773900400,dock,True,27.2,8.57
5,M1773900500,room_a,True,5.7,0.82
5,M1773900500,room_b,True,25.3,4.85
5,M1773900500,room_c,True,14.4,4.72
5,M1773900500,dock,True,28.6,8.43
6,M1773900600,room_a,False,8.7,0.25
6,M1773900600,room_b,True,10.1,5.57
6,M1773900600,room_c,True,16.6,5.51
6,M1773900600,dock,True,34.6,8.5
7,M1773900700,room_a,False,9.4,0.16
7,M1773900700,room_b,True,13.6,5.57
7,M1773900700,room_c,True,21.0,5.02
7,M1773900700,dock,True,21.0,6.42
8,M1773900800,room_a,True,16.4,0.96
8,M1773900800,room_b,True,16.6,5.16
8,M1773900800,room_c,True,10.8,4.26
8,M1773900800,dock,True,26.8,8.81
9,M1773900900,room_a,False,11.8,0.22
9,M1773900900,room_b,False,9.9,0.42
9,M1773900900,room_c,True,15.2,4.54
9,M1773900900,dock,True,28.1,8.73
10,M1773901000,room_a,True,3.0,1.1
10,M1773901000,room_b,True,15.9,4.62
10,M1773901000,room_c,False,6.7,1.79
10,M1773901000,dock,True,23.8,7.52
