trial,mission_id,goal_name,success,duration_sec,distance_m
1,M1773900100,room_a,True,7.0,0.8
1,M1773900100,room_b,True,17.9,4.33
1,M1773900100,room_c,True,14.7,4.71
1,M1773900100,dock,False,9.2,2.01
2,M1773900200,room_a,True,3.0,0.81
2,M1773900200,room_b,True,12.2,4.54
2,M1773900200,room_c,True,10.3,5.09
2,M1773900200,dock,True,27.0,7.27
3,M1773900300,room_a,True,4.4,0.83
3,M1773900300,room_b,True,12.9,5.28
3,M1773900300,room_c,False,6.3,1.38
3,M1773900300,dock,True,23.6,8.03
4,M1773900400,room_a,True,3.0,0.75
4,M1773900400,room_b,True,15.7,4.46
4,M1773900400,room_c,True,11.2,5.3
4,M1773900400,dock,True,25.8,8.16
5,M1773900500,room_a,True,8.2,0.77
5,M1773900500,room_b,True,12.6,4.59
5,M1773900500,room_c,True,15.3,5.02
5,M1773900500,dock,True,22.5,7.65
6,M1773900600,room_a,True,3.0,0.81
6,M1773900600,room_b,True,14.9,4.42
6,M1773900600,room_c,True,15.1,5.39
6,M1773900600,dock,True,25.9,8.03
7,M1773900700,room_a,True,3.0,0.92
7,M1773900700,room_b,True,21.7,4.72
7,M1773900700,room_c,True,9.9,4.91
7,M1773900700,dock,False,10.9,2.15
8,M1773900800,room_a,True,3.0,0.75
8,M1773900800,room_b,True,11.0,4.96
8,M1773900800,room_c,True,10.9,4.7
8,M1773900800,dock,True,28.6,7.52
9,M1773900900,room_a,True,3.0,0.74
9,M1773900900,room_b,True,16.2,5.01
9,M1773900900,room_c,True,18.8,4.51
9,M1773900900,dock,True,29.0,7.62
10,M1773901000,room_a,True,4.0,0.9
10,M1773901000,room_b,True,16.1,4.48
10,M1773901000,room_c,True,12.2,5.16
10,M1773901000,dock,True,18.9,8.18
