trial,mission_id,goal_name,success,duration_sec,distance_m
1,M1773900100,room_a,True,3.0,0.79
1,M1773900100,room_b,False,6.6,0.73
1,M1773900100,room_c,True,13.3,4.35
1,M1773900100,dock,True,21.5,7.5
2,M1773900200,room_a,True,4.7,0.72
2,M1773900200,room_b,False,4.1,0.52
2,M1773900200,room_c,True,8.1,6.56
2,M1773900200,dock,False,3.8,1.58
3,M1773900300,room_a,False,6.1,0.27
3,M1773900300,room_b,False,3.0,1.45
3,M1773900300,room_c,False,6.3,0.88
3,M1773900300,dock,False,3.6,0.98
4,M1773900400,room_a,True,3.0,0.83
4,M1773900400,room_b,True,8.6,5.1
4,M1773900400,room_c,True,14.1,5.13
4,M1773900400,dock,False,3.5,2.79
5,M1773900500,room_a,True,3.0,0.92
5,M1773900500,room_b,False,4.3,1.42
5,M1773900500,room_c,False,5.1,1.28
5,M1773900500,dock,True,19.7,10.38
6,M1773900600,room_a,False,7.2,0.23
6,M1773900600,room_b,True,11.9,5.42
6,M1773900600,room_c,True,7.4,6.23
6,M1773900600,dock,False,4.1,2.92
7,M1773900700,room_a,True,5.0,1.1
7,M1773900700,room_b,False,6.1,1.05
7,M1773900700,room_c,True,8.1,6.5
7,M1773900700,dock,False,7.4,2.7
8,M1773900800,room_a,True,3.0,0.91
8,M1773900800,room_b,False,7.3,1.68
8,M1773900800,room_c,False,6.9,0.83
8,M1773900800,dock,True,12.6,9.84
9,M1773900900,room_a,True,3.0,0.98
9,M1773900900,room_b,True,8.5,5.35
9,M1773900900,room_c,True,13.1,5.42
9,M1773900900,dock,False,4.4,3.1
10,M1773901000,room_a,True,6.9,0.72
10,M1773901000,room_b,True,10.1,5.53
10,M1773901000,room_c,False,7.8,0.69
10,M1773901000,dock,True,18.9,9.22
